"x"
"IPREldorado"
"IPRGarca"
"IPRGarcaRadiante"
"IPRGralha"
"IPRGrauna"
"IPRJuriti"
"IPRJuritiazul/amarelado"
"IPRJuritisuperPBA/09"
"IPRMaracana"
"IPRNhambu"
"IPRQuero-quero"
"IPRSabia"
"IPRSaracura"
"IPRSiriri"
"IPRTangara"
"IPRTiziu"
"IPRTuiuiu"
"IPRUirapuru"
"IPRUrutau"
"JaloPrecoce"
"JuritiClaroSel37-13M"
"LEC01-11"
"LEC01-16"
"LEC02-16"
"LEC03-16"
"LEC04-16"
"LEC05-16"
"Linhagem110"
"Linhagem110-1"
"LinhagemFAP-F3-2-SEL"
"LM93204217"
"LM93204303"
"Lolatauro"
"LP01-38"
"LP01-51"
"LP02-02"
"LP02-130"
"LP02-52"
"LP04-03"
"LP04-72"
"LP05-77"
"LP06-30"
"LP07-80"
"LP08-186"
"LP08-187"
"LP09-180"
"LP09-192"
"LP09-34"
"LP09-40"
"LP09-41"
"LP0933"
"LP10-166"
"LP10-269"
"LP10-28"
"LP10-69"
"LP11-117"
"LP11-363"
"LP12-131"
"LP12-168"
"LP12-182"
"LP12-230"
"LP12-331"
"LP12-420"
"LP12-524"
"LP12-529"
"LP12-591"
"LP12-601"
"LP13-111"
"LP13-147"
"LP13-157"
"LP13-160"
"LP13-162"
"LP13-169"
"LP13-250"
"LP13-624"
"LP13-80"
"LP13-84"
"LP20-108-claro"
"LP91-1"
"LP91-117"
"LP91-22"
"LP91-23"
"LP92-1"
"LP96-153"
"LP96-37"
"LP97-4"
"LP98-122"
"LP98-123"
"LP98-13"
"LP98-20"
"LP99-79"
"LP99-96"
"Magnifico"
"MD11-10"
"MD11-12"
"MD11-14"
"MD11-24PM05Selecao"
"MD11-26"
"MD11-27PM06Selecao"
"MD11-27PM07Selecao"
"MD11-27PM22Selecao"
"MD11-28"
"MD11-31PM04Selecao"
"MD11-31PM21Selecao"
"MD11-33"
"MD11-34"
"MD11-36"
"MD11-40"
"MD11-41"
"MD11-42"
"MD11-50Selecao"
"MD905"
"MD972"
"MD973"
"MDL-36"
"Multiplicacao05precoce"
"Nobre"
"OTG07-02"
"OTG07-08"
"OTG07-10"
"OTG07-9"
"P5-4-3-1"
"Perola"
"Pitoco"
"PortoReal"
"PR11-3-5-1"
"PR14-2-3-2"
"PR93201472"
"RedFawkaw"
"RedHawk"
"Rubi"
"Rubipurificado"
"Ruda"
"SCS202Guara"
"SCS204Predileto"
"SCS205Riqueza"
"SEL31-17"
"Sel37-17"
"Selecao02"
"Selecao2"
"SelecaoArapoti"
"SelecaoCastro"
"SelecaoemIPR139folhasamarelas"
"SelecaoFABC"
"SelecaoFABCArapoti"
"SelecaoFABCCastro"
"SelecaoIPR139folhasgrossas"
"SelecaoIPRCorujinhaLinha1018"
"SelecaoIV"
"Soberano"
"TAA-L030023"
"TAA-L040031"
"TAA01"
"TAA02"
"TAA03"
"TAA04"
"TAABranco02"
"TAACariocaL-015"
"TAADama"
"TAAGol"
"TAAL-013"
"TAAL030023"
"TAAL030023 "
"TAAL030031"
"TAAL040031"
"TAAL040031 "
"TAAL050051"
"TAALBA01"
"TAALBA02"
"TAALBA03"
"TAALBA04"
"TAALBA05"
"TAALBA06"
"TAALBA07"
"TAALBA08"
"TAALBA09"
"TAALBA11"
"TAAMahre"
"TAAPreto04"
"UEM266"
"UEMAwauna"
"UEMFlorDiniz"
"UTF1"
"UTF2Gaurama"
"UTF3"
"UTF4Silvestre"
"UTF5PatoBranco"
"UTF6Carioquinha"
"UTF7"
"Zonim"
