"local";"cidade";"estado";"fungicida";"irrigacao";"genotipo";"tipo_de_grao";"repeticao";"data_semeadura";"FO";"FS";"safra";"id_ensaio"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRTuiuiu";"p";2;"15/12/14";2,6;3,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"ANFc9";"chc";2;"15/12/14";4,4;2,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRJuriti";"chc";2;"15/12/14";1,4;0,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSMGMadreperola";"chc";2;"15/12/14";9;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRQuero-quero";"chc";2;"15/12/14";4;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IACMilenio";"chc";2;"15/12/14";2;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IACImperador";"chc";2;"15/12/14";9,4;0,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRCamposGerais";"chc";2;"15/12/14";6;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSEstilo";"chc";2;"15/12/14";4,8;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSMGMajestoso";"chc";2;"15/12/14";8,2;1,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"FAPF3RC2-2";"chc";2;"15/12/14";3;3,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BolaCheia";"chc";2;"15/12/14";5;5,5;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRUirapuru";"p";2;"15/12/14";1;1,8;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSEsteio";"p";2;"15/12/14";5,9;0,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"UEMFlorDiniz";"chc";2;"15/12/14";6;0,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"TAADama";"chc";2;"15/12/14";7,8;0,8;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRQuero-quero";"chc";3;"15/12/14";5,8;NA;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"49/61-1/2";"chc";3;"15/12/14";5,4;1,4;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSEsteio";"p";3;"15/12/14";6,6;0,8;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRBem-te-vi";"chc";3;"15/12/14";7,6;0,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"UEMAwauna";"p";3;"15/12/14";8;0,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IACImperador";"chc";3;"15/12/14";8,8;1;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPR139";"chc";3;"15/12/14";7;0,8;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"FAPF3RC2-2";"chc";3;"15/12/14";4,4;3,6;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BolaCheia";"chc";3;"15/12/14";5,4;1,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"IPRCamposGerais";"chc";3;"15/12/14";4,4;0,2;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
"CDEArapoti";"Arapoti";"PR";"com";"nao";"BRSNotavel";"chc";3;"15/12/14";2;3,8;"15/16";"Arapoti_CDEArapoti_15/16_12_nao_com"
