"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"41",384,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC Veloz","p",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"42",385,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 205 Riqueza","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"43",386,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Tangar<e1>","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"44",387,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFp119","p",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"45",388,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Bem-te-vi","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"46",389,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1850","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"47",390,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Sabi<e1>","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"48",391,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Quero-quero","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"49",392,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Uirapuru","p",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"50",393,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","TAA Dama","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"51",394,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Estilo","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"52",395,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 205 Riqueza","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"53",396,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","Marhe","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"54",397,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 204 Predileto","p",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"55",398,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1850","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"56",399,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Curi<f3>","chc",3,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
