"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"829",743,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a","b",1,2015-12-14,"15/16","0.2","0.8","0.8",NA,NA,NA,NA,NA,NA,0.6,0.8,0.346410161513775,57.7350269189626,743,"1.4","3.6","7","7.4","7.4","7.4","8.5","9.4",NA,NA,NA,6.5125,7.4,2.65945080259601,40.8360967769061
"830",744,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",1,2015-12-14,"15/16","0.2","0.5","0.5",NA,NA,NA,NA,NA,NA,0.4,0.5,0.173205080756888,43.3012701892219,744,"3","3.6","4.2","4.4","4.4","4.4","4.4","8.5",NA,NA,NA,4.6125,4.4,1.65135225972967,35.8016750076893
"831",745,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",1,2015-12-14,"15/16","0.2","1","1",NA,NA,NA,NA,NA,NA,0.733333333333333,1,0.461880215351701,62.9836657297773,745,"4.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.4,NA,NA
"832",746,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Awauna","p",1,2015-12-14,"15/16","0.4","2","2",NA,NA,NA,NA,NA,NA,1.46666666666667,2,0.923760430703401,62.9836657297773,746,"0.4","1","1.6","1.6","1.6","1.6","2.2","2.2",NA,NA,NA,1.525,1.6,0.594618725379069,38.9913918281357
"833",747,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",1,2015-12-14,"15/16","0.5","1.8","2.2",NA,NA,NA,NA,NA,NA,1.5,1.8,0.888819441731559,59.2546294487706,747,"0.4","0.4","0.4","0.4","0.4","0.4","0.4","1.4",NA,NA,NA,0.525,0.4,0.353553390593274,67.3435029701474
"834",748,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Uirapuru","p",2,2015-12-14,"15/16","0.1","0.6","0.6",NA,NA,NA,NA,NA,NA,0.433333333333333,0.6,0.288675134594813,66.6173387526491,748,"2","2.8","4.2","4.2","4.2","4.2","4.2","7.6",NA,NA,NA,4.175,4.2,1.61930320111549,38.7857054159398
"835",749,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",2,2015-12-14,"15/16","0.6","1.5","2.1",NA,NA,NA,NA,NA,NA,1.4,1.5,0.754983443527075,53.9273888233625,749,"0.6","1","1.4","1.4","1.4","1.4","3","3",NA,NA,NA,1.65,1.4,0.879935062539114,53.3293977296433
"836",750,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a","b",2,2015-12-14,"15/16","0.1","0.6","0.6",NA,NA,NA,NA,NA,NA,0.433333333333333,0.6,0.288675134594813,66.6173387526491,750,"2","2","6.8","6.8","6.8","6.8","9","9.4",NA,NA,NA,6.2,6.8,2.79795843939316,45.1283619256962
"837",751,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",2,2015-12-14,"15/16","0.6","0.6","0.6",NA,NA,NA,NA,NA,NA,0.6,0.6,0,0,751,"0.4","0.6","1","1","1","1","1","5",NA,NA,NA,1.375,1,1.4829988922065,107.854464887746
"838",752,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA LBA08","chc",2,2015-12-14,"15/16","0.8","0.8","0.8",NA,NA,NA,NA,NA,NA,0.8,0.8,0,0,752,"0.2","0.2","0.2","0.2","0.2","2",NA,NA,NA,NA,NA,0.5,0.2,0.734846922834953,146.969384566991
