"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11"
"38",38,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",2,2017-12-15,2018-03-15,"17/18",0.4,2,2.5,NA,NA,NA,NA,NA,NA,0.1,0.8,2,3,3,3,NA,NA,NA,NA,NA
"39",39,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Linhagem 110","chc",2,2017-12-15,2018-03-15,"17/18",0.1,0.8,0.8,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA
"40",40,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FS 305","calima",2,2017-12-15,2018-03-15,"17/18",0.8,3,3,NA,NA,NA,NA,NA,NA,0.8,1.5,2,7,7,7,NA,NA,NA,NA,NA
"41",41,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",2,2017-12-15,2018-03-15,"17/18",0.4,2,3.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,1,1,1,NA,NA,NA,NA
"42",42,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",2,2017-12-15,2018-03-15,"17/18",0.2,1,3,NA,NA,NA,NA,NA,NA,0.1,0.8,1.5,3,5,5,5,NA,NA,NA,NA
"43",43,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tuiui<fa>","p",2,2017-12-15,2018-03-15,"17/18",0.8,2.5,2.5,2.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,3,3,3,NA,NA,NA,NA
"44",44,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Campeiro","p",2,2017-12-15,2018-03-15,"17/18",1.5,5,6,NA,NA,NA,NA,NA,NA,0.1,1,1,1.5,NA,NA,NA,NA,NA,NA,NA
"45",45,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a Radiante","b",2,2017-12-15,2018-03-15,"17/18",2.5,8,8.5,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,7.5,7.5,7.5,NA,NA,NA,NA
"46",46,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Sabi<e1>","chc",2,2017-12-15,2018-03-15,"17/18",0.5,1.5,2.5,NA,NA,NA,NA,NA,NA,0.2,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"47",47,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",2,2017-12-15,2018-03-15,"17/18",0.8,3.5,3.5,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA
